CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
1100015,1 - Norte,11,RO,Alta Floresta DOeste,25437,4 - 20001 até 50000
1100023,1 - Norte,11,RO,Ariquemes,107345,6 - 100001 até 500000
1100031,1 - Norte,11,RO,Cabixi,6224,2 - 5001 até 10000
1100049,1 - Norte,11,RO,Cacoal,88507,5 - 50001 até 100000
1100056,1 - Norte,11,RO,Cerejeiras,17934,3 - 10001 até 20000
1100064,1 - Norte,11,RO,Colorado do Oeste,18467,3 - 10001 até 20000
1100072,1 - Norte,11,RO,Corumbiara,8659,2 - 5001 até 10000
1100080,1 - Norte,11,RO,Costa Marques,17400,3 - 10001 até 20000
1100098,1 - Norte,11,RO,Espigão DOeste,33030,4 - 20001 até 50000
1100106,1 - Norte,11,RO,Guajará-Mirim,47451,4 - 20001 até 50000
1100114,1 - Norte,11,RO,Jaru,55871,5 - 50001 até 100000
1100122,1 - Norte,11,RO,Ji-Paraná,132667,6 - 100001 até 500000
1100130,1 - Norte,11,RO,Machadinho DOeste,38609,4 - 20001 até 50000
1100148,1 - Norte,11,RO,Nova Brasilândia DOeste,21747,4 - 20001 até 50000
1100155,1 - Norte,11,RO,Ouro Preto do Oeste,39759,4 - 20001 até 50000
1100189,1 - Norte,11,RO,Pimenta Bueno,38051,4 - 20001 até 50000
1100205,1 - Norte,11,RO,Porto Velho,519436,7 - Maior que 500000
1100254,1 - Norte,11,RO,Presidente Médici,22124,4 - 20001 até 50000
1100262,1 - Norte,11,RO,Rio Crespo,3829,1 - Até 5000
1100288,1 - Norte,11,RO,Rolim de Moura,57074,5 - 50001 até 100000
1100296,1 - Norte,11,RO,Santa Luzia DOeste,8198,2 - 5001 até 10000
1100304,1 - Norte,11,RO,Vilhena,95630,5 - 50001 até 100000
1100320,1 - Norte,11,RO,São Miguel do Guaporé,24181,4 - 20001 até 50000
1100338,1 - Norte,11,RO,Nova Mamoré,28891,4 - 20001 até 50000
1100346,1 - Norte,11,RO,Alvorada DOeste,16747,3 - 10001 até 20000
1100379,1 - Norte,11,RO,Alto Alegre dos Parecis,14045,3 - 10001 até 20000
1100403,1 - Norte,11,RO,Alto Paraíso,20916,4 - 20001 até 50000
1100452,1 - Norte,11,RO,Buritis,39044,4 - 20001 até 50000
1100502,1 - Norte,11,RO,Novo Horizonte do Oeste,10051,3 - 10001 até 20000
1100601,1 - Norte,11,RO,Cacaulândia,6460,2 - 5001 até 10000
1100700,1 - Norte,11,RO,Campo Novo de Rondônia,14484,3 - 10001 até 20000
1100809,1 - Norte,11,RO,Candeias do Jamari,25266,4 - 20001 até 50000
1100908,1 - Norte,11,RO,Castanheiras,3550,1 - Até 5000
1100924,1 - Norte,11,RO,Chupinguaia,10593,3 - 10001 até 20000
1100940,1 - Norte,11,RO,Cujubim,22443,4 - 20001 até 50000
1101005,1 - Norte,11,RO,Governador Jorge Teixeira,9745,2 - 5001 até 10000
1101104,1 - Norte,11,RO,Itapuã do Oeste,10310,3 - 10001 até 20000
1101203,1 - Norte,11,RO,Ministro Andreazza,10751,3 - 10001 até 20000
1101302,1 - Norte,11,RO,Mirante da Serra,12258,3 - 10001 até 20000
1101401,1 - Norte,11,RO,Monte Negro,16186,3 - 10001 até 20000
1101435,1 - Norte,11,RO,Nova União,7769,2 - 5001 até 10000
1101450,1 - Norte,11,RO,Parecis,5904,2 - 5001 até 10000
1101468,1 - Norte,11,RO,Pimenteiras do Oeste,2410,1 - Até 5000
1101476,1 - Norte,11,RO,Primavera de Rondônia,3411,1 - Até 5000
1101484,1 - Norte,11,RO,São Felipe DOeste,5994,2 - 5001 até 10000
1101492,1 - Norte,11,RO,São Francisco do Guaporé,19694,3 - 10001 até 20000
1101500,1 - Norte,11,RO,Seringueiras,12653,3 - 10001 até 20000
1101559,1 - Norte,11,RO,Teixeirópolis,4931,1 - Até 5000
1101609,1 - Norte,11,RO,Theobroma,11350,3 - 10001 até 20000
1101708,1 - Norte,11,RO,Urupá,13106,3 - 10001 até 20000
1101757,1 - Norte,11,RO,Vale do Anari,11149,3 - 10001 até 20000
1101807,1 - Norte,11,RO,Vale do Paraíso,8047,2 - 5001 até 10000
1200013,1 - Norte,12,AC,Acrelândia,14366,3 - 10001 até 20000
1200054,1 - Norte,12,AC,Assis Brasil,6986,2 - 5001 até 10000
1200104,1 - Norte,12,AC,Brasiléia,24765,4 - 20001 até 50000
1200138,1 - Norte,12,AC,Bujari,9664,2 - 5001 até 10000
1200179,1 - Norte,12,AC,Capixaba,11136,3 - 10001 até 20000
1200203,1 - Norte,12,AC,Cruzeiro do Sul,82622,5 - 50001 até 100000
1200252,1 - Norte,12,AC,Epitaciolândia,17340,3 - 10001 até 20000
1200302,1 - Norte,12,AC,Feijó,32360,4 - 20001 até 50000
1200328,1 - Norte,12,AC,Jordão,7858,2 - 5001 até 10000
1200336,1 - Norte,12,AC,Mâncio Lima,17910,3 - 10001 até 20000
1200344,1 - Norte,12,AC,Manoel Urbano,8886,2 - 5001 até 10000
1200351,1 - Norte,12,AC,Marechal Thaumaturgo,17897,3 - 10001 até 20000
1200385,1 - Norte,12,AC,Plácido de Castro,18510,3 - 10001 até 20000
1200393,1 - Norte,12,AC,Porto Walter,11353,3 - 10001 até 20000
1200401,1 - Norte,12,AC,Rio Branco,383443,6 - 100001 até 500000
1200427,1 - Norte,12,AC,Rodrigues Alves,17945,3 - 10001 até 20000
1200435,1 - Norte,12,AC,Santa Rosa do Purus,6230,2 - 5001 até 10000
1200450,1 - Norte,12,AC,Senador Guiomard,21552,4 - 20001 até 50000
1200500,1 - Norte,12,AC,Sena Madureira,43139,4 - 20001 até 50000
1200609,1 - Norte,12,AC,Tarauacá,40024,4 - 20001 até 50000
1200708,1 - Norte,12,AC,Xapuri,18174,3 - 10001 até 20000
1200807,1 - Norte,12,AC,Porto Acre,17459,3 - 10001 até 20000
1300029,1 - Norte,13,AM,Alvarães,15908,3 - 10001 até 20000
1300060,1 - Norte,13,AM,Amaturá,11242,3 - 10001 até 20000
1300086,1 - Norte,13,AM,Anamã,12978,3 - 10001 até 20000
1300102,1 - Norte,13,AM,Anori,20196,4 - 20001 até 50000
1300144,1 - Norte,13,AM,Apuí,21406,4 - 20001 até 50000
1300201,1 - Norte,13,AM,Atalaia do Norte,19054,3 - 10001 até 20000
1300300,1 - Norte,13,AM,Autazes,38454,4 - 20001 até 50000
1300409,1 - Norte,13,AM,Barcelos,27743,4 - 20001 até 50000
1300508,1 - Norte,13,AM,Barreirinha,31542,4 - 20001 até 50000
1300607,1 - Norte,13,AM,Benjamin Constant,41329,4 - 20001 até 50000
1300631,1 - Norte,13,AM,Beruri,18978,3 - 10001 até 20000
1300680,1 - Norte,13,AM,Boa Vista do Ramos,18483,3 - 10001 até 20000
1300706,1 - Norte,13,AM,Boca do Acre,34176,4 - 20001 até 50000
1300805,1 - Norte,13,AM,Borba,40464,4 - 20001 até 50000
1300839,1 - Norte,13,AM,Caapiranga,12820,3 - 10001 até 20000
1300904,1 - Norte,13,AM,Canutama,15490,3 - 10001 até 20000
1301001,1 - Norte,13,AM,Carauari,28337,4 - 20001 até 50000
1301100,1 - Norte,13,AM,Careiro,37399,4 - 20001 até 50000
1301159,1 - Norte,13,AM,Careiro da Várzea,29190,4 - 20001 até 50000
1301209,1 - Norte,13,AM,Coari,84762,5 - 50001 até 100000
1301308,1 - Norte,13,AM,Codajás,27817,4 - 20001 até 50000
1301407,1 - Norte,13,AM,Eirunepé,34888,4 - 20001 até 50000
1301506,1 - Norte,13,AM,Envira,19492,3 - 10001 até 20000
1301605,1 - Norte,13,AM,Fonte Boa,19669,3 - 10001 até 20000
1301654,1 - Norte,13,AM,Guajará,16339,3 - 10001 até 20000
1301704,1 - Norte,13,AM,Humaitá,53383,5 - 50001 até 100000
1301803,1 - Norte,13,AM,Ipixuna,28299,4 - 20001 até 50000
1301852,1 - Norte,13,AM,Iranduba,47407,4 - 20001 até 50000
1301902,1 - Norte,13,AM,Itacoatiara,99854,5 - 50001 até 100000
1301951,1 - Norte,13,AM,Itamarati,8128,2 - 5001 até 10000
1302009,1 - Norte,13,AM,Itapiranga,9125,2 - 5001 até 10000
1302108,1 - Norte,13,AM,Japurá,4205,1 - Até 5000
1302207,1 - Norte,13,AM,Juruá,13956,3 - 10001 até 20000
1302306,1 - Norte,13,AM,Jutaí,15824,3 - 10001 até 20000
1302405,1 - Norte,13,AM,Lábrea,44861,4 - 20001 até 50000
1302504,1 - Norte,13,AM,Manacapuru,96460,5 - 50001 até 100000
1302553,1 - Norte,13,AM,Manaquiri,30222,4 - 20001 até 50000
1302603,1 - Norte,13,AM,Manaus,2130264,7 - Maior que 500000
1302702,1 - Norte,13,AM,Manicoré,54708,5 - 50001 até 100000
1302801,1 - Norte,13,AM,Maraã,18531,3 - 10001 até 20000
1302900,1 - Norte,13,AM,Maués,62212,5 - 50001 até 100000
1303007,1 - Norte,13,AM,Nhamundá,20902,4 - 20001 até 50000
1303106,1 - Norte,13,AM,Nova Olinda do Norte,36431,4 - 20001 até 50000
1303205,1 - Norte,13,AM,Novo Airão,18586,3 - 10001 até 20000
1303304,1 - Norte,13,AM,Novo Aripuanã,25112,4 - 20001 até 50000
1303403,1 - Norte,13,AM,Parintins,113832,6 - 100001 até 500000
