REGIAO,COD UF,UF,Und Fed,POP EST
Norte,11,RO,RONDÔNIA,1805788
Norte,12,AC,ACRE,829619
Norte,13,AM,AMAZONAS,4063614
Norte,14,RR,RORAIMA,522636
Norte,15,PA,PARÁ,8366628
Norte,16,AP,AMAPÁ,797722
Norte,17,TO,TOCANTINS,1550194
Nordeste,21,MA,MARANHÃO,7000229
Nordeste,22,PI,PIAUÍ,3.219.257 (*)
Nordeste,23,CE,CEARÁ,9.020.460 (*)
Nordeste,24,RN,RIO GRANDE DO NORTE,3507003
Nordeste,25,PB,PARAÍBA,4025558
Nordeste,26,PE,PERNAMBUCO,9473266
Nordeste,27,AL,ALAGOAS,3.375.823 (**)
Nordeste,28,SE,SERGIPE,2.288.116 (**)
Nordeste,29,BA,BAHIA,15344447
Sudeste,31,MG,MINAS GERAIS,21119536
Sudeste,32,ES,ESPÍRITO SANTO,4016356
Sudeste,33,RJ,RIO DE JANEIRO,16718956
Sudeste,35,SP,SÃO PAULO,45094866
Sul,41,PR,PARANÁ,11320892
Sul,42,SC,SANTA CATARINA,7001161
Sul,43,RS,RIO GRANDE DO SUL,11322895
Centro-Oeste,50,MS,MATO GROSSO DO SUL,2713147
Centro-Oeste,51,MT,MATO GROSSO,3344544
Centro-Oeste,52,GO,GOIÁS,6778772
Centro-Oeste,53,DF,DISTRITO FEDERAL,3039444
